Serie,Tiempo en Aire,clasificacion,calificacion
1. Breaking Bad,2008–2013,epsC,9.5 (2.2M)
2. Planeta Tierra II,2016,epsTV-G,9.5 (162K)
3. Planeta Tierra,2006,epsA,9.4 (224K)
4. Banda de hermanos,2001,epsB,9.4 (546K)
5. Chernobyl,2019,epsB,9.3 (908K)
6. The Wire,2002–2008,epsC,9.3 (391K)
7. Avatar: La leyenda de Aang,2005–2008,epsA,9.3 (390K)
8. Planeta Azul II,2017,epsTV-G,9.3 (49K)
9. Los Soprano,1999–2007,epsC,9.2 (499K)
10. Cosmos,2014,epsPG,9.2 (131K)
11. Cosmos: un viaje personal,1980,epsTV-PG,9.3 (46K)
12. Nuestro planeta,2019–2023,epsTV-PG,9.2 (54K)
13. Game of Thrones,2011–2019,epsC,9.2 (2.4M)
14. Bluey,2018– ,eps0+,9.3 (33K)
15. El Mundo en Guerra,1973–1974,epsTV-PG,9.2 (31K)
16. Fullmetal Alchemist: Brotherhood,2009–2010,epsB15,9.1 (209K)
17. Rick & Morty,2013– ,epsB15,9.1 (628K)
18. Life,2009,epsTV-G,9.1 (44K)
19. El último baile,2020,epsTV-14,9.0 (160K)
20. La dimensión desconocida,1959–1964,eps13,9.0 (97K)
21. The Vietnam War,2017,epsTV-MA,9.1 (29K)
22. Sherlock,2010–2017,epsB,9.1 (1M)
23. Attack on Titan,2013–2023,epsTV-MA,9.1 (562K)
24. Batman: La serie animada,1992–1995,epsA,9.0 (122K)
25. Arcane,2021–2024,epsTV-14,9.0 (308K)
